username,anime_id,score
itzTenzy,591,5.0
iwum_bo,58913,8.0
itacha4ever,24151,8.0
-Hayley-,4059,7.0
Katsumeio,10379,9.0
Rizzadd10,54492,10.0
Rirbale,40776,9.0
CUNAGOSSUS,59730,6.0
-Kirito,10321,10.0
itsalerio,40748,8.0
RiverSorcerer,53494,7.0
Monkeyy_,56843,7.0
Fraggy03,13663,9.0
istrie,54918,8.0
Thraggrotusk,37210,3.0
Mondain,11061,9.0
MonsterTNT,41946,6.0
---bym---,30015,8.0
ashinkei,4744,5.0
Karolinskis,37393,7.0
artikfoxa,40591,8.0
TiagoMoraes,36106,5.0
potion_seller_ye,32937,8.0
FrancescoTheFrog,9736,7.0
Katsudonz,6746,9.0
Katastuos,39547,5.0
ithaswhatitisnt,39940,6.0
Katsuki,32983,8.0
probjodye,368,6.0
arya_p2004,85,8.0
Caiera,37618,6.0
CXLIV,31953,6.0
primordial_noir_,2001,8.0
CabooseGI,17265,10.0
Karuzo95,39523,6.0
TiagoRn28,11737,6.0
-Bommel-,58567,10.0
KarlWho,199,7.0
Moodiekiller,889,8.0
Karl-Rihonin,31765,9.0
prometeo392,47163,6.0
Thorfinn_glazer,339,6.0
istrie,48585,7.0
Franchize57,36882,7.0
Riritsu,6421,8.0
artaditcz,38328,5.0
Thunder192,21,7.0
RoXas_MMIV,30276,9.0
armin_m1,1535,6.0
MontuBoss,37377,6.0
Cablecords,7805,5.0
ivanflinn,35363,7.0
itsmepee,54790,6.0
MonogatariLSD,1943,9.0
-Cheesecake-,36699,8.0
Karitori-Kusari,35847,8.0
prodigy34,32949,6.0
Montie,884,6.0
-Luhui,405,8.0
Ripti,52034,10.0
CaioLima20,24133,6.0
Rizuraki,1575,9.0
KasuraGirl,16592,6.0
MonkeyDDave,1119,7.0
-Kuroitsuki-,39017,5.0
artosapien,10495,5.0
artdog,24765,8.0
Karmel,10620,7.0
poyu1717,24,7.0
Kasusu,28387,7.0
CalCal63,25397,7.0
CYioReti,37521,9.0
Rixiia,37999,10.0
pranss0_0,953,5.0
Monstergamer265,36316,7.0
MoonLuchan,2397,8.0
Thrack,47194,9.0
Karlsefni13,14719,7.0
KaseSenpai,31980,7.0
ThunderKnight125,40456,7.0
Katsuragi222,55749,6.0
Franciscocsjr,56062,8.0
asaderu,4938,8.0
Rius,40530,7.0
Rise_Kujikawa__,19,10.0
-GABU-,31051,7.0
Moonphantom,8538,6.0
TiffyIffy,2397,7.0
Rizuraki,10863,10.0
-Jaegers-,40748,9.0
potatoman69,23755,8.0
asiangodz69,32182,7.0
Franca1212,38414,8.0
itsukandy,49721,10.0
itsFranny,35790,4.0
ashfavz,32935,10.0
Monkeyy_,40776,8.0
Frallan0702,30891,4.0
Fraetor,45753,6.0
prowtar,15813,4.0
Thorfinn459,30240,7.0
RipVanKiller,36474,7.0
Riseofanime22,31500,6.0
ThugHunter,38939,2.0
Calderia,5343,10.0
-Corzator-,52588,9.0
CLanzion,41402,9.0
pratiksingh1594,85,7.0
-KAL,22119,2.0
arvin946,53065,9.0
Fox5135,58572,8.0
-City_Hunter-,28121,5.0
TibO123,57334,10.0
Foquitoss,41084,9.0
KatrinaWeeb14,15335,9.0
Kashtanator,40340,5.0
ForflayyO,6594,8.0
Karo_cchi,55701,9.0
arunkumaran,57555,10.0
artosapien,37347,7.0
KarmaSlyr,1490,3.0
KasrkinSaser,885,8.0
-Frigo,34712,6.0
progrockboy,18679,9.0
RivRev9188,37932,8.0
Foreveryoungsana,25777,10.0
Cade2606,32935,7.0
-Kiraide-,11633,7.0
Calais_,41025,9.0
przemek123,431,8.0
Foltvers,56228,6.0
Tiippy,48583,10.0
CLaNLoRrD,40028,10.0
itchydango,40852,8.0
Ritakuma,36474,8.0
Thoru_UwU,41084,10.0
-FUUJIN-,28999,8.0
Moonlight_Arc-V,31706,9.0
----shia,634,7.0
prohli,39547,10.0
armob,53888,10.0
armin12345678912,41587,6.0
asia_2k,34572,8.0
-BL0SS0M-,55629,5.0
Frakits,52578,7.0
-Azurel-,6351,9.0
CabralKDC,28999,8.0
ThomasMeta,47160,6.0
-Ichihara-Yuuko-,7054,9.0
RisottoNero1337,38186,5.0
Thomas_Atwood,12729,10.0
RlyBored69,10568,7.0
Cafune-,32542,4.0
KasukeLp,23321,8.0
Rlylex,152,6.0
RitaGandra,10504,10.0
itacha4ever,2490,7.0
Riskelfish,34134,7.0
itachi1,4224,8.0
-Anii-,11757,7.0
MonkeyMe333,53439,4.0
FragileGlass,28891,7.0
Karniale,543,9.0
-Juanjo,54803,6.0
Rixiia,35062,1.0
Karumont,3759,7.0
arrazolavguille,11661,6.0
FrankPT,37987,10.0
itsmekarlyyy,55973,7.0
Monstruox23,54794,7.0
Rising_Sun,36936,7.0
--EYEPATCH--,40834,10.0
Fomi,14741,7.0
CLEsadra,47159,7.0
--Fiend_09--,22135,10.0
Monsheri,30014,7.0
FrancescoTheFrog,37991,7.0
Katsuragi222,19429,9.0
Katou81,39587,10.0
CSGMarch,53446,8.0
Monou,6172,9.0
itsybits,58222,8.0
Rishabh069,31904,7.0
FookinWeeb,2993,7.0
FookinWeeb,36456,8.0
Fortescue,22729,7.0
pseudo,578,6.0
Moo_and_ma,40748,8.0
-AkagiChan-,2001,8.0
-AdelineBelle-,18457,4.0
Kasou,5205,9.0
Fr37vb,50265,9.0
-AC-,13807,10.0
princefa5,1363,7.0
CafeManager,5909,5.0
arnovego,32615,6.0
Kashio13,8074,4.0
Riten,52991,10.0
-Dullahan,51019,8.0
Foreverhin,2026,8.0
Riwn66,33049,7.0
--Jin--,11266,7.0
MonetD,11757,6.0
iwatch2muchanime,782,7.0
aryxnpandey,11887,6.0
Moomeowmoomoo,52990,5.0
Monkey_D_Mrowek,40052,9.0
Fradischen,1536,8.0
CLAW_Animelife,996,5.0
Foreverhin,16592,9.0
itav,3455,7.0
iturbeh,37349,8.0
itsFranny,18753,6.0
artonelico69,10581,8.0
-Inuki,3784,10.0
Foxie1810,523,6.0
Caladan,10162,9.0
Monkey_D_Alif_21,8115,7.0
Thryms,52709,4.0
Rirusy31,18153,10.0
--Rosie--,38000,9.0
RipeerGameplays,19163,9.0
Katsureki,19137,6.0
ThomasPokemon,34626,8.0
psychoplast,37779,8.0
Katholic,18153,4.0
Kashynku,899,6.0
-Dullahan,10020,7.0
asce91,1889,8.0
Tiago_Soares,19369,7.0
RioAl,32924,6.0
Rio-23,12859,10.0
prismajane,2926,7.0
CNoFlaw,51956,8.0
itsrj20,34973,8.0
-Kairix,31812,10.0
pranavx_007,54744,9.0
Caio7DUST,30948,6.0
Fradischen,23283,8.0
artemisthemp,40960,5.0
MonkeysWithGuns,7711,8.0
MonkeyDZoey,10408,7.0
asetrisk,38440,2.0
Cadenzavna,5205,10.0
TiagoLuiz,47164,7.0
Katsudon-kun,46095,10.0
--kitade--,364,8.0
-Loli-,32262,6.0
Thopps,31964,8.0
-Aster-,32615,7.0
ThunderSonTS,49387,8.0
-Elegy-,37442,10.0
probreaux,16524,6.0
prthedisaster,52446,2.0
ThyroidBeanstalk,3230,5.0
Katrix,33478,4.0
Katsumi_Leaf,16782,9.0
Katsureki,4654,8.0
its_beako,56784,8.0
ishmamzara,37430,8.0
Ritsuchaaan,30384,6.0
princefa5,22145,7.0
Francisco_Goku,50306,8.0
asassiss,5258,10.0
Monzue,21659,5.0
Calaber,10092,6.0
prussianking,35507,9.0
ashhshh,31704,8.0
Thunder_Emp,25013,9.0
CagatayC,36456,8.0
CPiva,36266,7.0
-Bibs-,10087,9.0
ivenusdoom,1292,6.0
Riyuzu,37987,8.0
iuririn,31964,8.0
Caim_Sama,21185,8.0
arnold5000,54794,5.0
Cachoera,52635,4.0
itsslurpee,22199,9.0
Throttlee,10711,5.0
-KraftLawrence-,38940,6.0
princefaking,22729,6.0
Forever,857,7.0
itsThatWeeb,8675,10.0
Rivaliti,40456,9.0
Forbidd,1575,10.0
Cai_Gamer,29803,9.0
arrazolavguille,3292,8.0
Risswelt,12959,7.0
as1186052,35760,9.0
Thruddingsfly,32189,8.0
privateale,6880,7.0
Risewild,20031,6.0
-Ascendancy-,55813,8.0
itsthatoneguyYT,35203,7.0
Fotsuan,2847,4.0
Monix-sama,296,4.0
prakhargr8,30296,6.0
-AC-,16157,10.0
-BL0SS0M-,22961,7.0
Kast2,50220,6.0
CMRkun,18247,3.0
Tigerrawr90,2904,9.0
pratapexe,1535,7.0
arruDawOo,10507,5.0
Rixel8021,30364,7.0
artas152,53129,7.0
KariudoPL,27775,8.0
CabVolp,32686,8.0
Rishadahmd99,52578,9.0
provec,55888,8.0
ForbiddenJ,14807,8.0
MooneBoy24,13659,5.0
KatOtaku,3728,1.0
FraN_cs,54918,7.0
Caioviski_,32686,6.0
ThunderBlade5053,52196,7.0
Caiorapososilva,42897,4.0
arodoetaniri,7769,7.0
Forbiddensimp,30714,6.0
--NoOneCares--,40417,8.0
Franciful,37999,8.0
Caius611,232,8.0
itsleoxz,48981,7.0
project2501_,770,5.0
ivdos,64,7.0
Foltvers,27821,8.0
CabralKDC,52619,7.0
arthuno,35120,10.0
itoshirin_gf,47778,8.0
-Lofn-,25157,6.0
CTcommander,33513,7.0
asetrisk,30895,3.0
