k,inertia,silhouette
2,2997.9856987178923,0.7546376691188961
3,1683.0308615922472,0.7397489040620978
4,1058.587486697267,0.7689131101728922
5,741.7798752462747,0.7892716403768507
6,553.5011241215129,0.8112059156450371
7,392.4573543490866,0.8313879815574492
8,296.4513779229371,0.8409297560495524
9,244.9794382346839,0.8422652657745222
10,201.7156574473972,0.8603093294486094
