model,search,best_cv_score,best_params,rmse,mae,r2
DecisionTree,optuna,-2.937138933242814,"{""max_depth"": 16, ""min_samples_split"": 20, ""min_samples_leaf"": 10}",1.7160261763549676,1.3132092576447094,0.098830884304145
KNN,optuna,-3.047389502410791,"{""n_neighbors"": 27, ""weights"": ""distance"", ""p"": 2}",1.7344370809978154,1.3286032512454269,0.0793902236923284
Linear,optuna,-3.005756185543301,"{""fit_intercept"": true}",1.735733108228644,1.3448769552339666,0.0780138911326651
Ridge,optuna,-3.0057561851955747,"{""alpha"": 0.005215217853861734, ""fit_intercept"": true}",1.7357331099924973,1.3448769608624955,0.07801388925881914
Lasso,optuna,-3.005762562608082,"{""alpha"": 0.00010605957586630573, ""fit_intercept"": true}",1.735741946749089,1.3449112611630154,0.07800450142432525
