model,fit_time_baseline,rmse_baseline,fit_time_svd,rmse_svd,rmse_delta,fit_time_delta
RandomForest,28.802982568740845,1.7166568414482775,12.752339601516724,1.7175662023996816,0.0009093609514041479,-16.05064296722412
DecisionTree,0.44051623344421387,1.7176336456314163,0.20548582077026367,1.7183241828845588,0.000690537253142498,-0.2350304126739502
GradientBoosting,24.857646703720093,1.7180195573198584,16.662343740463257,1.7257932609548707,0.007773703635012286,-8.195302963256836
MLP_single,266.6797082424164,1.723522589629117,97.46365141868591,1.7599394925887262,0.03641690295960909,-169.21605682373047
MLP_multi,723.3342437744141,1.7259695200308223,442.8058559894562,1.7635770675565103,0.03760754752568807,-280.5283877849579
Linear,0.10312867164611816,1.735733108228644,0.03764748573303223,1.7748139035018973,0.039080795273253255,-0.06548118591308594
Ridge,0.044054269790649414,1.7357334484784257,0.025516986846923828,1.7748139491790815,0.03908050070065583,-0.018537282943725586
Lasso,0.4277217388153076,1.7359628857656704,0.10985898971557617,1.7748477717324336,0.038884885966763205,-0.31786274909973145
KNN,0.9099221229553223,1.914419397828773,0.30144333839416504,1.9476758702678891,0.033256472439116225,-0.6084787845611572
SVR_rbf,23.497687578201294,2.529855175459035,78.74791669845581,2.5608919522453135,0.031036776786278697,55.25022912025452
SVR_linear,17.285499334335327,2.970108309008164,53.49255347251892,2.5666763794105374,-0.40343192959762675,36.207054138183594
