model,search,best_cv_score,best_params,rmse,mae,r2
DecisionTree,greedy,-2.9411900885118007,"{""max_depth"": 10, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",1.7168996540062218,1.3145797726635167,0.0979132393077895
KNN,greedy,-3.042883555094401,"{""n_neighbors"": 27, ""weights"": ""uniform"", ""p"": 2}",1.7331954794253626,1.3278311491012573,0.08070778846740723
Linear,greedy,-3.005756185543301,"{""fit_intercept"": true}",1.735733108228644,1.3448769552339666,0.0780138911326651
Ridge,greedy,-3.005756137271716,"{""alpha"": 1, ""fit_intercept"": true}",1.7357334484784257,1.3448780400410358,0.07801352966510833
Lasso,greedy,-3.006340846318819,"{""alpha"": 0.001, ""fit_intercept"": true}",1.7359628857656704,1.3453094318287184,0.0777697686707497
